TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-11 00:59:38.736,0.43311276753301,0.756314830758685,0.2865472140149748,0,0.6583047885888696,0.4541482047017297,0.06285450075785606,0,1.008461340051783,0.7333064923924041,0.5205011630102111,0,1.322453284105713,0.886041302392896,0.7621443483198834,0,1.122406168019291,0.7382335115259403,0.7239120179415198,0,807.4725274725275,803.8461538461539,767.1794871794872,1156.410256410256,779.2673992673992,-0.434631,0.113403,0.895447,9.420776,-0.949554,-14.228363,1,2,1,1,2,45.000000
2021-11-11 00:59:38.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:39.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:39.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:39.737,0.43311276753301,1.054623715184103,0.3085734939420192,0,0.6583047885888696,0.6277666788618524,0.1572063337565528,0,1.008461340051783,0.7374722311530943,0.4306319094305875,0,1.322453284105713,1.20405714175689,0.6967117495816113,0,1.122406168019291,1.176448118740977,0.6793714481211983,0,840.1098901098901,785.3113553113553,785.7142857142858,1073.809523809524,946.4835164835165,-0.761719,0.118774,0.672180,3.573914,16.860199,-4.545898,1,2,1,1,2,45.000000
2021-11-11 00:59:40.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:40.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:40.744,0.43311276753301,0.8053870307624116,1.104102534667989,0,0.6583047885888696,-0.1351331040118804,0.285195632962805,0,1.008461340051783,0.5703037110054013,0.3530340315911611,0,1.322453284105713,1.149659022045173,0.2667767170911778,0,1.122406168019291,0.6972494829561153,-0.2314866806546467,0,850.989010989011,783.2967032967033,815.1282051282052,1590.769230769231,719.2307692307693,-0.524353,0.083008,0.822083,-9.323578,-40.098114,12.598419,1,2,1,1,2,45.000000
2021-11-11 00:59:40.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:41.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:41.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:41.736,0.43311276753301,1.267888308853973,1.44374405211979,0,0.6583047885888696,0.1806532328780491,0.6003198764093475,0,1.008461340051783,0.8417239822901389,0.5980504445606164,0,1.322453284105713,1.109784510471268,0.5968748958866337,0,1.122406168019291,0.7652352903266515,0.222230540205535,0,945.2747252747253,780.4761904761905,808.2783882783883,14.90842490842491,854.6153846153846,-0.386841,0.138306,0.870544,20.254669,22.632294,14.190979,1,2,1,1,4,45.000000
2021-11-11 00:59:41.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:42.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:42.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:42.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:42.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:42.738,0.43311276753301,1.825668981461889,1.412151227118387,0,0.6583047885888696,0.8126105803919335,0.6512053097434169,0,1.008461340051783,0.8490341369546305,0.6493672961612275,0,1.322453284105713,0.8898041999676652,0.7946671133508874,0,1.122406168019291,0.5623145456548287,0.6820543037845567,0,906.996336996337,767.985347985348,788.9377289377289,1238.608058608059,931.978021978022,-0.329773,0.073364,0.822144,4.859924,-74.857788,-23.148193,1,2,1,1,2,45.000000
2021-11-11 00:59:43.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:43.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:43.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:43.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:43.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:43.738,0.43311276753301,2.12728716499777,1.530495903420935,0,0.6583047885888696,0.9476913819776894,0.6526080968203839,0,1.008461340051783,0.6972358346334832,0.4175329622835374,0,1.322453284105713,0.5922656106996061,0.4082129206430013,0,1.122406168019291,0.3200436066340734,0.4707538926682656,0,1061.318681318681,795.7875457875458,742.1978021978023,0,152.7106227106227,-0.341064,0.054565,0.935364,9.787140,5.435638,-50.326385,1,2,1,1,4,45.000000
2021-11-11 00:59:43.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:44.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:44.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:44.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:44.736,0.43311276753301,1.907520815589542,1.444406740093895,0,0.6583047885888696,0.3008936887873854,0.8036349770080744,0,1.008461340051783,0.3606248039776653,0.3936488272130174,0,1.322453284105713,0.5332898341721217,0.07973340757479597,0,1.122406168019291,0.4740515590636181,0.09681248884363036,0,898.5347985347986,758.7179487179487,776.4468864468864,1635.897435897436,1226.923076923077,-0.283447,0.136536,0.972778,7.805786,-3.932800,56.741486,1,2,1,1,4,45.000000
2021-11-11 00:59:44.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:45.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:45.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
