TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-01 17:46:47.717,1.584044035247106,0.8659706646826553,1.91794686369814,1.513698910250066,1.142663273078351,0.2976432386629502,1.399119195774708,0.5874970712119867,1.156317590628502,0.1802443763387453,0.5971118556101905,0.694044529975516,0.7221660110767023,0.4720746403093452,0.5389012751306448,0.7419973000577781,0.5009398832524797,0.08485991571085527,0.01777420827935117,0.2931049453696412,839.7069597069598,651.941391941392,774.0293040293041,1486.410256410256,684.1758241758242,-0.052551,0.107239,0.990845,7.484283,-6.056213,-7.259979,1,2,1,1,4,75.000000
2021-11-01 17:46:48.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:48.719,1.584044035247106,1.92189897086359,1.344904075284892,1.513698910250066,1.142663273078351,0.6104335415985764,0.1638954375374179,0.5874970712119867,1.156317590628502,0.6852654092062832,0.06734126432212248,0.694044529975516,0.7221660110767023,0.5764581182500477,-0.08569191054738642,0.7419973000577781,0.5009398832524797,0.381317309648229,0.07760106770840736,0.2931049453696412,755.8974358974359,695.4578754578755,729.7069597069598,819.96336996337,836.0805860805862,-0.142761,0.109436,1.031982,4.254303,-6.624451,-4.074860,1,2,1,1,2,75.000000
2021-11-01 17:46:49.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:49.716,1.584044035247106,2.025639788897906,1.46933580392353,1.513698910250066,1.142663273078351,1.104895049513249,0.1884236101571803,0.5874970712119867,1.156317590628502,0.5977441879740765,0.07501266650029256,0.694044529975516,0.7221660110767023,0.4147738705691484,-0.0918735292258108,0.7419973000577781,0.5009398832524797,0.1604328505239059,0.05051777745346459,0.2931049453696412,981.5384615384615,678.9377289377289,778.0586080586081,1015.384615384615,562.893772893773,-0.145142,0.111755,1.000610,1.779480,-7.192688,0.343933,1,2,1,1,2,75.000000
2021-11-01 17:46:49.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:50.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:50.717,1.584044035247106,2.147371593094985,1.473105287565094,1.513698910250066,1.142663273078351,1.383287229751503,1.033658781845335,0.5874970712119867,1.156317590628502,0.453383029496773,1.108225948129596,0.694044529975516,0.7221660110767023,0.4036134837600721,0.3492065031347399,0.7419973000577781,0.5009398832524797,0.1170244997096016,-0.1277327480590306,0.2931049453696412,864.6886446886447,744.2124542124542,793.7728937728938,938.4249084249085,610.4395604395604,-0.151001,0.126709,0.960815,6.699219,1.181335,-3.297272,1,2,1,1,2,75.000000
2021-11-01 17:46:51.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:51.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
